"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2026","6,824.66","6,783.69","6,835.31","6,761.55","-","0.62%"
"Apr 08, 2026","6,782.81","6,754.36","6,793.50","6,740.28","-","2.51%"
"Apr 07, 2026","6,616.85","6,601.93","6,618.26","6,534.55","-","0.08%"
"Apr 06, 2026","6,611.83","6,587.66","6,618.13","6,579.72","-","0.44%"
"Apr 02, 2026","6,582.69","6,512.61","6,601.91","6,474.94","-","0.11%"
"Apr 01, 2026","6,575.32","6,556.56","6,609.67","6,554.29","-","0.72%"
"Mar 31, 2026","6,528.52","6,395.88","6,539.05","6,395.88","-","2.91%"
"Mar 30, 2026","6,343.72","6,403.37","6,427.31","6,316.91","-","-0.39%"
"Mar 27, 2026","6,368.85","6,453.89","6,453.89","6,356.08","-","-1.67%"
"Mar 26, 2026","6,477.16","6,555.86","6,573.22","6,473.79","-","-1.74%"
"Mar 25, 2026","6,591.90","6,598.35","6,633.94","6,568.41","-","0.54%"
"Mar 24, 2026","6,556.37","6,552.09","6,595.75","6,525.11","-","-0.37%"
"Mar 23, 2026","6,581.00","6,574.96","6,651.62","6,565.55","-","1.15%"
"Mar 20, 2026","6,506.48","6,594.66","6,594.66","6,473.52","-","-1.51%"
"Mar 19, 2026","6,606.49","6,583.12","6,636.74","6,557.82","-","-0.27%"
"Mar 18, 2026","6,624.70","6,697.16","6,705.18","6,621.66","-","-1.36%"
"Mar 17, 2026","6,716.09","6,722.35","6,754.30","6,710.80","-","0.25%"
"Mar 16, 2026","6,699.38","6,674.37","6,729.79","6,674.37","-","1.01%"
"Mar 13, 2026","6,632.19","6,673.49","6,733.30","6,623.92","-","-0.61%"
"Mar 12, 2026","6,672.62","6,740.88","6,740.88","6,670.40","-","-1.52%"
"Mar 11, 2026","6,775.80","6,790.09","6,811.15","6,745.59","-","-0.08%"
"Mar 10, 2026","6,781.48","6,796.56","6,845.08","6,759.74","-","-0.21%"
"Mar 09, 2026","6,795.99","6,699.80","6,810.44","6,636.04","-","0.83%"
"Mar 06, 2026","6,740.02","6,769.03","6,773.42","6,711.56","-","-1.33%"
"Mar 05, 2026","6,830.71","6,851.08","6,870.43","6,770.78","-","-0.56%"
"Mar 04, 2026","6,869.50","6,831.69","6,885.94","6,811.64","-","0.78%"
"Mar 03, 2026","6,816.63","6,800.26","6,840.05","6,710.42","-","-0.94%"
"Mar 02, 2026","6,881.62","6,824.36","6,901.01","6,796.85","-","0.04%"
"Feb 27, 2026","6,878.88","6,856.54","6,882.96","6,831.74","-","-0.43%"
"Feb 26, 2026","6,908.86","6,944.74","6,947.25","6,859.73","-","-0.54%"
"Feb 25, 2026","6,946.13","6,915.15","6,952.51","6,915.15","-","0.81%"
"Feb 24, 2026","6,890.07","6,837.37","6,899.17","6,815.43","-","0.77%"
"Feb 23, 2026","6,837.75","6,901.25","6,916.96","6,819.82","-","-1.04%"
"Feb 20, 2026","6,909.51","6,843.26","6,915.86","6,836.33","-","0.69%"
"Feb 19, 2026","6,861.89","6,861.34","6,879.12","6,833.06","-","-0.28%"
"Feb 18, 2026","6,881.31","6,855.48","6,909.12","6,849.66","-","0.56%"
"Feb 17, 2026","6,843.22","6,819.86","6,866.99","6,775.50","-","0.10%"
"Feb 13, 2026","6,836.17","6,834.27","6,881.96","6,794.55","-","0.05%"
"Feb 12, 2026","6,832.76","6,957.54","6,973.22","6,824.04","-","-1.57%"
"Feb 11, 2026","6,941.47","6,976.48","6,993.48","6,911.97","-","-0.00%"
"Feb 10, 2026","6,941.81","6,974.49","6,986.83","6,937.53","-","-0.33%"
"Feb 09, 2026","6,964.82","6,917.26","6,980.10","6,905.87","-","0.47%"
"Feb 06, 2026","6,932.30","6,816.74","6,944.89","6,816.74","-","1.97%"
"Feb 05, 2026","6,798.40","6,837.39","6,857.85","6,780.13","-","-1.23%"
"Feb 04, 2026","6,882.72","6,924.50","6,936.09","6,838.80","-","-0.51%"
"Feb 03, 2026","6,917.81","6,985.45","6,993.08","6,862.05","-","-0.84%"
"Feb 02, 2026","6,976.44","6,916.64","6,991.92","6,914.34","-","0.54%"
"Jan 30, 2026","6,939.03","6,947.27","6,964.09","6,893.48","-","-0.43%"
"Jan 29, 2026","6,969.01","6,977.74","6,992.84","6,870.80","-","-0.13%"
"Jan 28, 2026","6,978.03","7,002.00","7,002.28","6,963.46","-","-0.01%"
"Jan 27, 2026","6,978.60","6,965.96","6,988.82","6,958.83","-","0.41%"
"Jan 26, 2026","6,950.23","6,923.23","6,964.66","6,921.60","-","0.50%"
"Jan 23, 2026","6,915.61","6,907.85","6,932.96","6,895.50","-","0.03%"
"Jan 22, 2026","6,913.35","6,914.44","6,934.75","6,893.62","-","0.55%"
"Jan 21, 2026","6,875.62","6,810.71","6,910.39","6,804.96","-","1.16%"
"Jan 20, 2026","6,796.86","6,865.24","6,871.17","6,789.05","-","-2.06%"
"Jan 16, 2026","6,940.01","6,960.54","6,967.30","6,925.09","-","-0.06%"
"Jan 15, 2026","6,944.47","6,969.46","6,979.34","6,937.93","-","0.26%"
"Jan 14, 2026","6,926.60","6,937.41","6,941.30","6,885.74","-","-0.53%"
"Jan 13, 2026","6,963.74","6,977.41","6,985.83","6,938.77","-","-0.19%"
"Jan 12, 2026","6,977.27","6,944.12","6,986.33","6,934.07","-","0.16%"
"Jan 09, 2026","6,966.28","6,927.83","6,978.36","6,917.64","-","0.65%"
"Jan 08, 2026","6,921.46","6,914.11","6,931.28","6,899.33","-","0.01%"
"Jan 07, 2026","6,920.93","6,945.07","6,965.69","6,919.19","-","-0.34%"
"Jan 06, 2026","6,944.82","6,908.03","6,948.69","6,904.02","-","0.62%"
"Jan 05, 2026","6,902.05","6,892.19","6,920.38","6,891.56","-","0.64%"
"Jan 02, 2026","6,858.47","6,878.11","6,894.87","6,824.31","-","0.19%"
"Dec 31, 2025","6,845.50","6,898.82","6,901.42","6,844.55","-","-0.74%"
"Dec 30, 2025","6,896.24","6,900.44","6,913.25","6,893.47","-","-0.14%"
"Dec 29, 2025","6,905.74","6,903.60","6,920.21","6,888.76","-","-0.35%"
"Dec 26, 2025","6,929.94","6,936.02","6,945.77","6,921.60","-","-0.03%"
"Dec 24, 2025","6,932.05","6,904.91","6,937.32","6,904.91","-","0.32%"
"Dec 23, 2025","6,909.79","6,872.41","6,910.88","6,868.81","-","0.46%"
"Dec 22, 2025","6,878.49","6,865.21","6,882.03","6,855.74","-","0.64%"
"Dec 19, 2025","6,834.50","6,792.62","6,840.02","6,792.62","-","0.88%"
"Dec 18, 2025","6,774.76","6,778.06","6,816.13","6,758.50","-","0.79%"
"Dec 17, 2025","6,721.43","6,802.88","6,812.26","6,720.43","-","-1.16%"
"Dec 16, 2025","6,800.26","6,800.12","6,819.27","6,759.74","-","-0.24%"
"Dec 15, 2025","6,816.51","6,860.19","6,861.59","6,801.49","-","-0.16%"
"Dec 12, 2025","6,827.41","6,886.85","6,899.85","6,801.79","-","-1.07%"
"Dec 11, 2025","6,901.00","6,861.30","6,903.46","6,833.45","-","0.21%"
"Dec 10, 2025","6,886.68","6,833.49","6,900.67","6,824.69","-","0.67%"
"Dec 09, 2025","6,840.51","6,840.61","6,864.92","6,837.43","-","-0.09%"
"Dec 08, 2025","6,846.51","6,875.20","6,878.27","6,827.19","-","-0.35%"
"Dec 05, 2025","6,870.40","6,866.32","6,895.78","6,858.29","-","0.19%"
"Dec 04, 2025","6,857.12","6,866.47","6,866.47","6,827.12","-","0.11%"
"Dec 03, 2025","6,849.72","6,815.29","6,862.42","6,810.43","-","0.30%"
"Dec 02, 2025","6,829.37","6,830.96","6,851.55","6,806.71","-","0.25%"
"Dec 01, 2025","6,812.63","6,812.30","6,843.65","6,799.94","-","-0.53%"
"Nov 28, 2025","6,849.09","6,822.52","6,850.86","6,819.75","-","0.54%"
"Nov 26, 2025","6,812.61","6,793.55","6,831.44","6,783.87","-","0.69%"
"Nov 25, 2025","6,765.88","6,697.03","6,776.40","6,659.98","-","0.91%"
"Nov 24, 2025","6,705.12","6,636.54","6,715.75","6,630.70","-","1.55%"
"Nov 21, 2025","6,602.99","6,555.77","6,660.05","6,521.92","-","0.98%"
"Nov 20, 2025","6,538.76","6,737.93","6,770.35","6,534.05","-","-1.56%"
"Nov 19, 2025","6,642.16","6,625.84","6,689.75","6,603.50","-","0.38%"
"Nov 18, 2025","6,617.32","6,641.19","6,666.63","6,574.32","-","-0.83%"
"Nov 17, 2025","6,672.41","6,713.61","6,754.50","6,638.90","-","-0.92%"
"Nov 14, 2025","6,734.11","6,672.14","6,774.31","6,646.87","-","-0.05%"
"Nov 13, 2025","6,737.49","6,826.47","6,828.05","6,724.72","-","-1.66%"
"Nov 12, 2025","6,850.92","6,867.77","6,869.91","6,829.62","-","0.06%"
"Nov 11, 2025","6,846.61","6,815.64","6,855.13","6,806.87","-","0.21%"
"Nov 10, 2025","6,832.43","6,785.36","6,841.32","6,770.56","-","1.54%"
"Nov 07, 2025","6,728.80","6,696.18","6,730.11","6,631.44","-","0.13%"
"Nov 06, 2025","6,720.32","6,787.59","6,796.68","6,707.51","-","-1.12%"
"Nov 05, 2025","6,796.29","6,769.77","6,829.78","6,763.11","-","0.37%"
"Nov 04, 2025","6,771.55","6,788.52","6,820.21","6,766.71","-","-1.17%"
"Nov 03, 2025","6,851.97","6,882.32","6,882.32","6,820.62","-","0.17%"
"Oct 31, 2025","6,840.20","6,879.17","6,879.17","6,814.26","-","0.26%"
"Oct 30, 2025","6,822.34","6,860.50","6,880.75","6,820.69","-","-0.99%"
"Oct 29, 2025","6,890.59","6,910.95","6,920.34","6,851.91","-","-0.00%"
"Oct 28, 2025","6,890.89","6,897.74","6,911.30","6,870.73","-","0.23%"
"Oct 27, 2025","6,875.16","6,845.46","6,877.28","6,843.94","-","1.23%"
"Oct 24, 2025","6,791.69","6,772.07","6,807.11","6,772.07","-","0.79%"
"Oct 23, 2025","6,738.44","6,703.65","6,749.53","6,700.14","-","0.58%"
"Oct 22, 2025","6,699.40","6,741.34","6,741.75","6,655.69","-","-0.53%"
"Oct 21, 2025","6,735.35","6,736.75","6,752.16","6,722.03","-","0.00%"
"Oct 20, 2025","6,735.13","6,690.05","6,744.35","6,690.05","-","1.07%"
"Oct 17, 2025","6,664.01","6,613.27","6,678.88","6,603.76","-","0.53%"
"Oct 16, 2025","6,629.07","6,689.02","6,709.34","6,593.99","-","-0.63%"
"Oct 15, 2025","6,671.06","6,688.27","6,724.12","6,612.11","-","0.40%"
"Oct 14, 2025","6,644.31","6,602.49","6,680.70","6,555.07","-","-0.16%"
"Oct 13, 2025","6,654.72","6,622.53","6,668.68","6,620.71","-","1.56%"
"Oct 10, 2025","6,552.51","6,740.49","6,762.40","6,550.78","-","-2.71%"
"Oct 09, 2025","6,735.11","6,760.50","6,764.58","6,716.17","-","-0.28%"
"Oct 08, 2025","6,753.72","6,723.87","6,755.64","6,718.09","-","0.58%"
"Oct 07, 2025","6,714.59","6,746.14","6,754.49","6,699.96","-","-0.38%"
"Oct 06, 2025","6,740.28","6,733.86","6,749.52","6,717.78","-","0.36%"
"Oct 03, 2025","6,715.79","6,722.14","6,750.87","6,705.67","-","0.01%"
"Oct 02, 2025","6,715.35","6,731.31","6,731.94","6,693.23","-","0.06%"
"Oct 01, 2025","6,711.20","6,664.92","6,718.48","6,656.20","-","0.34%"
"Sep 30, 2025","6,688.46","6,656.19","6,691.25","6,641.00","-","0.41%"
"Sep 29, 2025","6,661.21","6,661.58","6,677.31","6,644.49","-","0.26%"
"Sep 26, 2025","6,643.70","6,615.38","6,648.97","6,604.43","-","0.59%"
"Sep 25, 2025","6,604.72","6,608.19","6,619.00","6,569.22","-","-0.50%"
"Sep 24, 2025","6,637.97","6,669.79","6,672.66","6,621.76","-","-0.28%"
